,bind_id,symbol,action,position,signal_timestamp,signal_price
298,81f8473f-85a2-4949-8bbd-8a24102646b9,btc_usdt|binance_future,open,short,1728853800,62712.3
299,34f2dcb2-6140-45e4-8be3-191671de04db,btc_usdt|binance_future,open,long,1728854400,62725.4
300,71ed4c91-adff-44ab-a820-de3eba179edf,btc_usdt|binance_future,open,short,1728855840,62871.8
301,c8d1fbde-3daf-4728-b165-c3b73683657d,btc_usdt|binance_future,open,long,1728856560,62844.7
302,a63b4d1e-45cb-4766-8787-51275aecb2ba,btc_usdt|binance_future,open,short,1728857640,62922.6
303,c205ca19-d0dc-40fc-9e91-a1d07309f166,btc_usdt|binance_future,open,long,1728859200,62810.2
304,b021a79c-e603-469b-adea-268e6766fe7c,btc_usdt|binance_future,open,short,1728859740,62787.7
305,abc44250-8af2-42fa-bbb4-664da36cb0a5,btc_usdt|binance_future,open,long,1728860460,62783.2
306,bae8869c-f116-4438-bb4e-de41640ab4df,btc_usdt|binance_future,open,short,1728860700,62733.3
307,0644d8e9-963a-45f6-bcf2-f5828b20c6ea,btc_usdt|binance_future,open,long,1728861960,62622.6
308,3f1dbf95-59aa-4b11-bc00-6ceb737d365a,btc_usdt|binance_future,open,short,1728864360,62762.4
309,f655d61e-0d61-4b8a-8515-05b2ca8873ae,btc_usdt|binance_future,open,long,1728865680,62664.5
310,c4370f1c-233a-4da3-907d-f58f0ac2c459,btc_usdt|binance_future,open,short,1728866100,62666.8
311,55205927-c92b-4664-b877-51c8569f8dde,btc_usdt|binance_future,open,long,1728866160,62652.0
312,e8e0a710-74ce-4a50-95b6-9c03a95cab68,btc_usdt|binance_future,open,short,1728866400,62628.3
313,7f235ef2-8d59-4e06-bbb9-d9c1fa9370f3,btc_usdt|binance_future,open,long,1728867540,62491.4
314,ae9f0327-a5bd-45d8-bac4-9a310d732255,btc_usdt|binance_future,open,short,1728869700,62733.7
315,3d973689-a152-4e18-9456-3717efce14e2,btc_usdt|binance_future,open,long,1728871200,62598.2
316,455e551c-29e1-421c-aac1-6fdf9fb73390,btc_usdt|binance_future,open,short,1728871320,62528.3
317,f9412e25-155f-4194-9c19-580a873db9d0,btc_usdt|binance_future,open,long,1728871980,62547.3
318,91f2b81e-8150-4423-b341-1c9819dfd383,btc_usdt|binance_future,open,short,1728872940,62540.0
319,66adf26d-b1b3-472c-95f0-4935b173fa2c,btc_usdt|binance_future,open,long,1728873600,62592.0
320,8218d27d-49e3-4cda-b645-bf130fc9d87c,btc_usdt|binance_future,open,short,1728874260,62530.0
321,cf74908c-1f5e-47d5-af3a-851add74455b,btc_usdt|binance_future,open,long,1728874680,62545.2
322,76d9108a-422c-46e4-853d-5274fd7b2645,btc_usdt|binance_future,open,short,1728889260,64132.3
323,4dc70572-27c2-43ca-a96d-6b5c5de461fd,btc_usdt|binance_future,open,long,1728891780,64352.6
324,3c8b9e77-62bd-4131-9e5f-a682fdcec8c7,btc_usdt|binance_future,open,short,1728894720,64600.0
325,fc4b33dc-6dc9-4d5c-9d14-de48db103a0c,btc_usdt|binance_future,open,long,1728896580,64437.3
326,dff9d196-3017-4469-aafd-5ab0ddaf941d,btc_usdt|binance_future,open,short,1728897060,64381.2
327,a84fa17e-fa9c-4049-b617-c6f42b8ae2b0,btc_usdt|binance_future,open,long,1728897360,64557.7
328,249ce5c8-1fe3-405d-8978-880e86159335,btc_usdt|binance_future,open,short,1728898140,64566.2
329,8e5586d3-a0d8-4583-a5ce-e1cdb3dd02a0,btc_usdt|binance_future,open,long,1728898440,64620.7
330,06a2f53a-7c0a-485b-b355-3d9cc0b0070e,btc_usdt|binance_future,open,short,1728900420,64729.0
331,bf36be4c-b213-4563-8822-f7c36f0b2088,btc_usdt|binance_future,open,long,1728900840,64850.0
332,4cdcf2b9-3771-4b3c-8ba7-bb840110b7c7,btc_usdt|binance_future,open,short,1728901740,64824.4
